,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,airai,-8.9266,125.4092,293.91,64,70,1.89,TL,1624159006
84,chokurdakh,70.6333,147.9167,293.65,29,27,5.39,RU,1624159007
85,taggia,43.8485,7.8545,296.53,91,90,2.36,IT,1624159007
86,zabol,32.25,67.25,296.59,12,0,6.23,AF,1624159008
87,ojinaga,29.5667,-104.4167,308.68,15,1,3.6,MX,1624159008
88,maine-soroa,13.2114,12.0241,301.52,45,67,3.9,NE,1624159008
89,ercis,39.0287,43.3586,296.93,42,0,2.68,TR,1624159009
90,yumen,40.2833,97.2,299.38,19,93,5.82,CN,1624159009
91,schela,45.5,27.8167,289.44,95,61,4.91,RO,1624159010
92,vaini,-21.2,-175.2,299.24,83,20,2.57,TO,1624159011
93,butaritari,3.0707,172.7902,300.67,71,7,0.75,KI,1624159011
94,komsomolskiy,40.4272,71.7189,299.83,25,4,2.06,UZ,1624159012
95,kitimat,54.0524,-128.6534,296.36,62,3,0.45,CA,1624159012
96,leh,34.1667,77.5833,284.3,51,30,1.94,IN,1624159013
97,dromolaxia,34.8761,33.586,294.07,84,0,2.06,CY,1624159013
98,tokur,53.1333,132.9,295.61,34,94,1.74,RU,1624159014
99,bonavista,48.6499,-53.1147,286.15,76,82,6.31,CA,1624159014
100,meulaboh,4.1363,96.1285,299.7,82,96,1.9,ID,1624159015
101,mahebourg,-20.4081,57.7,295.31,68,40,5.66,MU,1624159015
102,zmeinogorsk,51.1567,82.195,280.22,96,100,3.79,RU,1624159015
103,busselton,-33.65,115.3333,285.42,85,44,6.81,AU,1624159016
104,coello,4.2891,-74.8982,297.36,82,99,0.14,CO,1624159016
105,srednekolymsk,67.45,153.6833,291.32,30,93,4.01,RU,1624159017
106,geraldton,-28.7667,114.6,292.38,52,90,5.14,AU,1624158982
107,tuktoyaktuk,69.4541,-133.0374,293.15,40,20,4.63,CA,1624159018
108,torbay,47.6666,-52.7314,286.58,76,1,6.69,CA,1624159018
109,buraydah,26.326,43.975,297.4,12,0,0.4,SA,1624158999
110,kamenka,51.3223,42.7678,289.26,79,0,2.8,RU,1624159019
111,zhuji,29.7188,120.2423,295.1,98,100,1.71,CN,1624159020
112,alofi,-19.0595,-169.9187,297.09,88,31,3.09,NU,1624159020
113,riyadh,24.6877,46.7219,301.18,11,0,1.54,SA,1624159021
114,sur,22.5667,59.5289,305.45,45,100,2.52,OM,1624159022
115,douglas,41.3,-96.167,300.64,51,1,0.0,US,1624159022
116,broome,42.2506,-75.833,290.36,96,90,1.34,US,1624159023
117,sakaiminato,35.55,133.2333,299.14,57,75,1.54,JP,1624158994
118,lulea,65.5842,22.1547,283.19,93,90,0.51,SE,1624159024
119,baykit,61.67,96.37,298.55,39,8,3.96,RU,1624159024
120,kavieng,-2.5744,150.7967,300.9,73,74,1.26,PG,1624159025
121,griffith,41.5284,-87.4237,298.12,82,90,0.89,US,1624159025
122,yurga,55.7231,84.8861,283.11,76,98,3.97,RU,1624159026
123,northam,51.0333,-4.2167,287.4,96,97,4.64,GB,1624159027
124,kalmunai,7.4167,81.8167,302.75,66,98,1.47,LK,1624159027
125,mersing,2.4312,103.8405,301.1,83,40,0.0,MY,1624159028
126,touros,-5.1989,-35.4608,295.65,87,5,5.19,BR,1624159028
127,carnarvon,-24.8667,113.6333,295.19,39,0,2.06,AU,1624159029
128,malakal,9.5334,31.6605,295.26,81,100,1.72,SS,1624159025
129,sao joao da barra,-21.6403,-41.0511,294.79,76,4,9.7,BR,1624159030
130,aras,42.5617,-2.356,288.04,82,0,2.06,ES,1624159030
131,kavaratti,10.5669,72.642,301.4,76,100,9.34,IN,1624159031
132,longyearbyen,78.2186,15.6401,277.06,81,75,9.77,SJ,1624159031
133,pisco,-13.7,-76.2167,291.18,82,90,6.17,PE,1624159032
134,ahuimanu,21.4447,-157.8378,300.99,58,20,4.63,US,1624159032
135,vestmanna,62.1564,-7.1664,280.66,87,90,5.14,FO,1624159032
136,pedra azul,-16.0053,-41.2972,289.63,97,100,1.21,BR,1624159033
137,darhan,49.4867,105.9228,297.01,32,13,1.53,MN,1624159033
138,nantucket,41.2835,-70.0995,294.82,90,90,6.69,US,1624159034
139,san carlos de bariloche,-41.1456,-71.3082,274.51,62,0,1.54,AR,1624159034
140,port hardy,50.6996,-127.4199,287.25,94,90,1.03,CA,1624159035
141,yarada,17.65,83.2667,304.33,66,75,5.14,IN,1624159035
142,yulara,-25.2406,130.9889,289.06,41,4,3.6,AU,1624159035
143,san patricio,28.017,-97.5169,302.51,71,89,4.71,US,1624159036
144,bluff,-46.6,168.3333,280.82,83,34,5.87,NZ,1624159036
145,san cristobal,7.7669,-72.225,291.82,97,63,1.2,VE,1624159037
